-1 1:13.71 2:1.86 3:2.36 4:16.6 5:101 6:2.61 7:2.88 8:0.27 9:1.69 10:3.8 11:1.11 12:4.0 13:1035
-1 1:14.02 2:1.68 3:2.21 4:16.0 5:96 6:2.65 7:2.33 8:0.26 9:1.98 10:4.7 11:1.04 12:3.59 13:1035
1 1:12.22 2:1.29 3:1.94 4:19.0 5:92 6:2.36 7:2.04 8:0.39 9:2.08 10:2.7 11:0.86 12:3.02 13:312
-1 1:13.29 2:1.97 3:2.68 4:16.8 5:102 6:3.0 7:3.23 8:0.31 9:1.66 10:6.0 11:1.07 12:2.84 13:1270
1 1:12.34 2:2.45 3:2.46 4:21.0 5:98 6:2.56 7:2.11 8:0.34 9:1.31 10:2.8 11:0.8 12:3.38 13:438
-1 1:13.05 2:2.05 3:3.22 4:25.0 5:124 6:2.63 7:2.68 8:0.47 9:1.92 10:3.58 11:1.13 12:3.2 13:830
-1 1:14.39 2:1.87 3:2.45 4:14.6 5:96 6:2.5 7:2.52 8:0.3 9:1.98 10:5.25 11:1.02 12:3.58 13:1290
-1 1:13.94 2:1.73 3:2.27 4:17.4 5:108 6:2.88 7:3.54 8:0.32 9:2.08 10:8.9 11:1.12 12:3.1 13:1260
-1 1:13.87 2:1.9 3:2.8 4:19.4 5:107 6:2.95 7:2.97 8:0.37 9:1.76 10:4.5 11:1.25 12:3.4 13:915
1 1:11.56 2:2.05 3:3.23 4:28.5 5:119 6:3.18 7:5.08 8:0.47 9:1.87 10:6.0 11:0.93 12:3.69 13:465
-1 1:13.63 2:1.81 3:2.7 4:17.2 5:112 6:2.85 7:2.91 8:0.3 9:1.46 10:7.3 11:1.28 12:2.88 13:1310
1 1:12.29 2:1.61 3:2.21 4:20.4 5:103 6:1.1 7:1.02 8:0.37 9:1.46 10:3.05 11:0.9059999999999999 12:1.82 13:870
1 1:11.82 2:1.47 3:1.99 4:20.8 5:86 6:1.98 7:1.6 8:0.3 9:1.53 10:1.95 11:0.95 12:3.33 13:495
-1 1:14.21 2:4.04 3:2.44 4:18.9 5:111 6:2.85 7:2.65 8:0.3 9:1.25 10:5.24 11:0.87 12:3.33 13:1080
1 1:12.64 2:1.36 3:2.02 4:16.8 5:100 6:2.02 7:1.41 8:0.53 9:0.62 10:5.75 11:0.98 12:1.59 13:450
-1 1:13.3 2:1.72 3:2.14 4:17.0 5:94 6:2.4 7:2.19 8:0.27 9:1.35 10:3.95 11:1.02 12:2.77 13:1285
1 1:12.69 2:1.53 3:2.26 4:20.7 5:80 6:1.38 7:1.46 8:0.58 9:1.62 10:3.05 11:0.96 12:2.06 13:495
1 1:13.05 2:5.8 3:2.13 4:21.5 5:86 6:2.62 7:2.65 8:0.3 9:2.01 10:2.6 11:0.73 12:3.1 13:380
