-1 1:0.5840000000000003 2:0.14519906323185017 3:0.23214285714285693 4:0.3333333333333334 5:0.3404255319148936 6:0.7151162790697674 7:0.7484472049689442 8:0.2173913043478261 9:0.4427860696517413 10:0.04191616766467063 11:0.763888888888889 12:1.0 13:0.6815642458100558
-1 1:0.7079999999999999 2:0.10304449648711944 3:0.09821428571428559 4:0.2948717948717949 5:0.23404255319148937 6:0.7383720930232558 7:0.5776397515527951 8:0.1956521739130435 9:0.5870646766169154 10:0.17664670658682638 11:0.6666666666666666 12:0.8498168498168498 13:0.6815642458100558
1 1:0.10399999999999991 2:0.0 3:0.13392857142857134 4:0.391025641025641 5:0.0 6:0.3604651162790698 7:0.03416149068322981 8:0.9347826086956521 9:0.22388059701492538 10:0.2889221556886228 11:0.26388888888888884 12:0.0879120879120879 13:0.25139664804469275
-1 1:0.41599999999999965 2:0.17096018735363 3:0.5178571428571429 4:0.3461538461538462 5:0.3617021276595745 6:0.9418604651162791 7:0.8571428571428571 8:0.30434782608695654 9:0.42786069651741293 10:0.37125748502994016 11:0.7083333333333334 12:0.575091575091575 13:0.9441340782122905
1 1:0.043999999999999775 2:0.6065573770491803 3:0.2499999999999998 4:0.6153846153846154 5:0.06382978723404255 6:0.5348837209302325 7:0.1397515527950311 8:0.717391304347826 9:0.11940298507462688 10:0.6182634730538924 11:0.0 12:0.11355311355311358 13:0.10614525139664804
-1 1:0.3200000000000003 2:0.18969555035128804 3:1.0 4:0.8717948717948718 5:0.8297872340425532 6:0.7267441860465116 7:0.6863354037267081 8:0.6521739130434782 9:0.5572139303482587 10:0.008982035928143721 11:0.7916666666666665 12:0.706959706959707 13:0.45251396648044695
-1 1:0.8560000000000002 2:0.14754098360655743 3:0.31250000000000006 4:0.2051282051282051 5:0.23404255319148937 6:0.6511627906976744 7:0.6366459627329193 8:0.2826086956521739 9:0.5870646766169154 10:0.25898203592814373 11:0.6388888888888888 12:0.8461538461538461 13:0.9664804469273743
-1 1:0.6759999999999998 2:0.11475409836065574 3:0.15178571428571422 4:0.3846153846153845 5:0.48936170212765956 6:0.8720930232558138 7:0.9534161490683232 8:0.32608695652173914 9:0.63681592039801 10:0.8053892215568864 11:0.7777777777777779 12:0.6703296703296704 13:0.9329608938547486
-1 1:0.6479999999999997 2:0.15456674473067916 3:0.6249999999999997 4:0.5128205128205127 5:0.46808510638297873 6:0.9127906976744187 7:0.7763975155279503 8:0.43478260869565216 9:0.4776119402985075 10:0.1467065868263473 11:0.9583333333333333 12:0.7802197802197802 13:0.547486033519553
1 1:0.07999999999999971 2:0.41920374707259955 3:0.48214285714285715 4:1.0 5:0.2553191489361702 6:0.3023255813953488 7:0.03416149068322981 8:1.0 9:0.16915422885572134 10:0.5958083832335329 11:0.15277777777777776 12:0.16849816849816848 13:0.5083798882681564
-1 1:0.5520000000000003 2:0.13348946135831385 3:0.5357142857142857 4:0.37179487179487175 5:0.574468085106383 6:0.8546511627906976 7:0.7577639751552797 8:0.2826086956521739 9:0.3283582089552239 10:0.5658682634730539 11:1.0 12:0.5897435897435896 13:0.9888268156424581
-1 1:0.7840000000000004 2:0.6557377049180328 3:0.30357142857142844 4:0.48076923076923067 5:0.5531914893617021 6:0.8546511627906976 7:0.6770186335403726 8:0.2826086956521739 9:0.22388059701492538 10:0.2574850299401198 11:0.43055555555555547 12:0.7545787545787546 13:0.7318435754189944
-1 1:0.42000000000000026 2:0.11241217798594849 3:0.03571428571428574 4:0.358974358974359 5:0.19148936170212766 6:0.5930232558139534 7:0.5341614906832298 8:0.2173913043478261 9:0.27363184079601993 10:0.06437125748502996 11:0.6388888888888888 12:0.5494505494505495 13:0.9608938547486033
1 1:0.4960000000000001 2:0.550351288056206 3:0.08035714285714272 4:0.5192307692307693 5:0.06382978723404255 6:0.13953488372093034 7:0.003105590062111804 8:0.8913043478260868 9:0.03980099502487561 10:0.3263473053892216 11:0.3472222222222222 12:0.20146520146520147 13:0.17318435754189945
1 1:0.28400000000000036 2:0.5175644028103045 3:0.2232142857142857 4:0.4551282051282051 5:0.44680851063829785 6:0.005813953488372097 7:0.07142857142857142 8:0.5000000000000001 9:0.0696517412935323 10:0.2634730538922156 11:0.16666666666666666 12:0.1758241758241758 13:0.27932960893854747
1 1:0.368 2:0.3161592505854801 3:0.24107142857142858 4:0.5512820512820513 5:0.7446808510638298 6:0.1569767441860465 7:0.06521739130434785 8:0.782608695652174 9:0.3283582089552239 10:0.8652694610778445 11:0.055555555555555455 12:0.12820512820512825 13:0.46368715083798884
1 1:0.6359999999999999 2:0.674473067915691 3:0.2499999999999998 4:0.5192307692307693 5:0.0851063829787234 6:0.24418604651162798 7:0.11180124223602485 8:0.6739130434782608 9:0.37810945273631846 10:0.8218562874251498 11:0.013888888888888748 12:0.1355311355311355 13:0.061452513966480445
-1 1:0.6 2:0.11475409836065574 3:0.2767857142857143 4:0.2948717948717949 5:0.0851063829787234 6:0.7093023255813954 7:0.7111801242236025 8:0.26086956521739124 9:0.5024875621890548 10:0.311377245508982 11:0.8194444444444443 12:0.5970695970695971 13:1.0
1 1:0.11199999999999974 2:1.0 3:0.48214285714285715 4:0.8717948717948718 5:0.23404255319148937 6:0.23837209302325588 7:0.04037267080745342 8:1.0 9:0.14925373134328362 10:0.2215568862275449 11:0.361111111111111 12:0.15384615384615383 13:0.1005586592178771
-1 1:0.7880000000000003 2:0.6440281030444965 3:0.36607142857142827 4:0.11538461538461532 5:0.9148936170212766 6:0.9418604651162791 7:0.798136645962733 8:0.06521739130434782 9:0.63681592039801 10:0.23652694610778438 11:0.4583333333333333 12:0.8278388278388278 13:0.3743016759776536
1 1:0.4079999999999998 2:0.7119437939110072 3:0.14285714285714257 4:0.5512820512820513 5:0.7446808510638298 6:0.12209302325581405 7:0.06832298136645962 8:0.5652173913043479 9:0.27363184079601993 10:1.0 11:0.04166666666666655 12:0.10622710622710624 13:0.4581005586592179
1 1:0.5479999999999997 2:0.8688524590163935 3:0.2232142857142857 4:0.5512820512820513 5:0.14893617021276595 6:0.3604651162790698 7:0.10248447204968947 8:0.6521739130434782 9:0.10945273631840796 10:0.13173652694610785 11:0.4861111111111111 12:0.28571428571428564 13:0.13966480446927373
-1 1:0.5560000000000003 2:0.4355971896955504 3:0.41071428571428564 4:0.24358974358974353 5:0.6595744680851063 6:0.7674418604651163 7:0.7950310559006211 8:0.0 9:0.42786069651741293 10:0.23652694610778438 11:0.5555555555555555 12:0.7655677655677655 13:0.4692737430167598
1 1:0.0 2:0.8149882903981265 3:0.3928571428571428 4:0.6153846153846154 5:0.0851063829787234 6:0.0 7:0.0 8:0.782608695652174 9:0.0 10:0.049401197604790434 11:0.26388888888888884 12:0.0 13:0.329608938547486
-1 1:0.45600000000000024 2:0.12412177985948479 3:0.46428571428571425 4:0.3012820512820514 5:0.1702127659574468 6:0.8546511627906976 7:0.7670807453416149 8:0.3695652173913044 9:0.3233830845771144 10:0.19161676646706585 11:0.5 12:0.7142857142857143 13:0.8603351955307262
-1 1:1.0 2:0.11475409836065574 3:0.25892857142857145 4:0.0 5:0.1276595744680851 6:1.0 7:1.0 8:0.5652173913043479 9:1.0 10:0.28143712574850305 11:0.9583333333333333 12:0.5347985347985348 13:0.8100558659217877
1 1:0.34399999999999975 2:0.15456674473067916 3:0.5803571428571427 4:0.9038461538461539 5:0.6595744680851063 6:0.47674418604651175 7:0.25155279503105593 8:0.1956521739130435 9:0.37810945273631846 10:0.5359281437125748 11:0.06944444444444435 12:0.021978021978021997 13:0.0
-1 1:0.632 2:0.09601873536299765 3:0.4464285714285714 4:0.37179487179487175 5:0.19148936170212766 6:0.6220930232558141 7:0.7826086956521742 8:0.10869565217391303 9:0.7412935323383085 10:0.311377245508982 11:0.9444444444444444 12:0.7692307692307693 13:0.9385474860335196
-1 1:0.3280000000000001 2:0.060889929742388764 3:0.0 4:0.26282051282051283 5:0.2765957446808511 6:0.5930232558139534 7:0.6739130434782609 8:0.23913043478260876 9:0.28358208955223885 10:0.026946107784431163 11:0.8611111111111109 12:0.5201465201465201 13:0.664804469273743
1 1:0.332 2:0.6229508196721313 3:0.23214285714285693 4:0.6474358974358975 5:0.5957446808510638 6:0.017441860465116293 7:0.2857142857142857 8:0.3695652173913044 9:0.16915422885572134 10:0.880239520958084 11:0.013888888888888748 12:0.021978021978021997 13:0.13966480446927373
-1 1:0.6039999999999999 2:0.06791569086651056 3:0.5357142857142857 4:0.5192307692307693 5:1.0 6:0.9127906976744187 7:0.704968944099379 8:0.717391304347826 9:0.27363184079601993 10:0.28143712574850305 11:0.9583333333333333 12:0.6336996336996337 13:0.9050279329608939
1 1:0.23599999999999993 2:0.40281030444964877 3:0.4553571428571426 4:0.8076923076923077 5:0.3404255319148936 6:0.5465116279069766 7:0.04037267080745342 8:0.782608695652174 9:0.004975124378109458 10:0.20958083832335328 11:0.4583333333333333 12:0.3223443223443223 13:0.18435754189944134
-1 1:0.5 2:0.13348946135831385 3:0.4553571428571426 4:0.5512820512820513 5:0.23404255319148937 6:0.6686046511627906 7:0.6645962732919254 8:0.23913043478260876 9:0.42786069651741293 10:0.0 11:0.7777777777777779 12:0.934065934065934 13:0.4692737430167598
