-1 1:0.39543726235741467 2:0.29816513761467883 3:1.0 4:0.7101449275362319 5:0.8085106382978723 6:0.6275862068965516 7:0.6545961002785515 8:0.4782608695652174 9:0.5269709543568465 10:0.052401746724890876 11:0.7272727272727273 12:0.6235741444866921 13:0.25296442687747034
1 1:0.23574144486692045 2:0.4770642201834862 3:0.3132530120481925 4:0.6014492753623188 5:0.1702127659574468 6:0.1724137931034483 7:0.08913649025069638 8:0.5000000000000001 9:0.1742738589211618 10:0.7008733624454149 11:0.3116883116883117 12:0.17490494296577946 13:0.2134387351778656
1 1:0.42585551330798505 2:0.44724770642201833 3:0.4096385542168673 4:0.7463768115942029 5:0.2553191489361702 6:0.3275862068965517 7:0.11699164345403898 8:0.6086956521739132 9:0.2904564315352697 10:0.5 11:0.09090909090909098 12:0.1254752851711027 13:0.1857707509881423
-1 1:0.3231939163498103 2:0.10091743119266053 3:0.0 4:0.0869565217391305 5:0.2553191489361702 6:0.6000000000000001 7:0.8161559888579387 8:0.0 9:0.9792531120331951 10:0.36681222707423583 11:0.8311688311688313 12:0.6159695817490495 13:0.5810276679841897
-1 1:0.6197718631178708 2:0.06422018348623854 3:0.6987951807228916 4:0.6376811594202899 5:0.7446808510638298 6:0.6793103448275863 7:0.852367688022284 8:0.5000000000000001 9:0.48547717842323646 10:0.30131004366812225 11:0.844155844155844 12:0.4866920152091254 13:0.5652173913043478
-1 1:0.7072243346007607 2:0.07798165137614675 3:0.2891566265060238 4:0.3478260869565218 5:0.9787234042553191 6:0.6965517241379311 7:0.7883008356545961 8:0.15217391304347822 9:0.6431535269709543 10:0.19759825327510921 11:0.7922077922077924 12:0.9201520912547528 13:0.2885375494071146
-1 1:0.8288973384030421 2:0.5275229357798165 3:0.2891566265060238 4:0.3478260869565218 5:0.46808510638297873 6:0.7827586206896552 7:0.7883008356545961 8:0.2173913043478261 9:0.6804979253112032 10:0.1157205240174673 11:0.7272727272727273 12:0.8174904942965779 13:0.5138339920948617
1 1:0.4562737642585554 2:0.7591743119266053 3:0.9879518072289154 4:1.0 5:0.6808510638297872 6:0.3448275862068966 7:0.17270194986072418 8:0.2173913043478261 9:0.23236514522821577 10:0.5087336244541485 11:0.24675324675324684 12:0.2395437262357414 13:0.16996047430830039
1 1:0.2471482889733841 2:0.4541284403669724 3:0.6506024096385542 4:0.782608695652174 5:0.5531914893617021 6:0.23103448275862068 7:0.07242339832869078 8:0.9347826086956521 9:0.17012448132780078 10:0.18995633187772928 11:0.5064935064935066 12:0.31178707224334595 13:0.1225296442687747
-1 1:0.2471482889733841 2:0.07110091743119266 3:0.5783132530120482 4:0.47826086956521746 5:0.3191489361702128 6:0.5172413793103449 7:0.5654596100278552 8:0.1956521739130435 9:0.37759336099585056 10:0.009825327510917064 11:0.7922077922077924 12:0.8897338403041825 13:0.4743083003952569
1 1:0.5817490494296581 2:0.7041284403669725 3:0.2650602409638551 4:0.8188405797101449 5:0.1702127659574468 6:0.10344827586206898 7:0.036211699164345384 8:0.7608695652173914 9:0.24896265560165967 10:0.30349344978165943 11:0.3896103896103897 12:0.17490494296577946 13:0.08300395256916997
1 1:0.4410646387832699 2:0.29128440366972475 3:0.3734939759036145 4:0.6376811594202899 5:0.19148936170212766 6:0.14482758620689654 7:0.044568245125348176 8:0.43478260869565216 9:0.03734439834024895 10:0.19213973799126635 11:0.2857142857142857 12:0.4486692015209126 13:0.2885375494071146
-1 1:0.7224334600760456 2:0.19954128440366972 3:0.3132530120481925 4:0.4927536231884058 5:0.5319148936170213 6:0.6793103448275863 7:0.8300835654596099 8:0.10869565217391303 9:0.7593360995850621 10:0.20851528384279477 11:1.0 12:0.714828897338403 13:0.8656126482213439
-1 1:0.27756653992395447 2:0.5756880733944953 3:0.7349397590361444 4:0.5362318840579712 5:0.46808510638297873 6:0.49310344827586217 7:0.5766016713091923 8:0.17391304347826086 9:0.5933609958506223 10:0.0720524017467249 11:0.7142857142857143 12:0.8479087452471483 13:0.28063241106719367
1 1:0.2509505703422053 2:0.013761467889908268 3:0.3373493975903612 4:0.4927536231884058 5:0.8936170212765957 6:0.18275862068965518 7:0.2534818941504178 8:0.0869565217391304 9:0.1618257261410788 10:0.02838427947598251 11:0.36363636363636365 12:0.0 13:0.16996047430830039
1 1:0.5741444866920157 2:1.0 3:0.493975903614458 4:0.6739130434782609 5:0.3191489361702128 6:0.24137931034482757 7:0.07520891364902506 8:0.7608695652173914 9:0.21161825726141079 10:0.4213973799126638 11:0.20779220779220783 12:0.17110266159695817 13:0.25691699604743085
1 1:0.27756653992395447 2:0.34862385321100914 3:0.7951807228915664 4:0.7101449275362319 5:0.3404255319148936 6:0.1931034482758621 7:0.044568245125348176 8:0.782608695652174 9:0.0829875518672199 10:0.08296943231441045 11:0.37662337662337664 12:0.3878326996197719 13:0.14624505928853754
