-1 1:11.66 2:1.88 3:1.92 4:16.0 5:97 6:1.61 7:1.57 8:0.34 9:1.15 10:3.8 11:1.23 12:2.14 13:428
-1 1:12.42 2:1.61 3:2.19 4:22.5 5:108 6:2.0 7:2.09 8:0.34 9:1.61 10:2.06 11:1.06 12:2.96 13:345
-1 1:11.79 2:2.13 3:2.78 4:28.5 5:92 6:2.13 7:2.24 8:0.58 9:1.76 10:3.0 11:0.97 12:2.44 13:466
-1 1:11.81 2:2.12 3:2.74 4:21.5 5:134 6:1.6 7:0.99 8:0.14 9:1.56 10:2.5 11:0.95 12:2.26 13:625
1 1:12.82 2:3.37 3:2.3 4:19.5 5:88 6:1.48 7:0.66 8:0.4 9:0.97 10:10.26 11:0.72 12:1.75 13:685
1 1:13.32 2:3.24 3:2.38 4:21.5 5:92 6:1.93 7:0.76 8:0.45 9:1.25 10:8.42 11:0.55 12:1.62 13:650
-1 1:12.16 2:1.61 3:2.31 4:22.8 5:90 6:1.78 7:1.69 8:0.43 9:1.56 10:2.45 11:1.33 12:2.26 13:495
1 1:13.4 2:4.6 3:2.86 4:25.0 5:112 6:1.98 7:0.96 8:0.27 9:1.11 10:8.5 11:0.67 12:1.92 13:630
-1 1:13.05 2:3.86 3:2.32 4:22.5 5:85 6:1.65 7:1.59 8:0.61 9:1.62 10:4.8 11:0.84 12:2.01 13:515
-1 1:12.37 2:1.13 3:2.16 4:19.0 5:87 6:3.5 7:3.1 8:0.19 9:1.87 10:4.45 11:1.22 12:2.87 13:420
1 1:12.85 2:3.27 3:2.58 4:22.0 5:106 6:1.65 7:0.6 8:0.6 9:0.96 10:5.58 11:0.87 12:2.11 13:570
1 1:13.73 2:4.36 3:2.26 4:22.5 5:88 6:1.28 7:0.47 8:0.52 9:1.15 10:6.62 11:0.78 12:1.75 13:520
-1 1:12.6 2:1.34 3:1.9 4:18.5 5:88 6:1.45 7:1.36 8:0.29 9:1.35 10:2.45 11:1.04 12:2.77 13:562
1 1:13.36 2:2.56 3:2.35 4:20.0 5:89 6:1.4 7:0.5 8:0.37 9:0.64 10:5.6 11:0.7 12:2.47 13:780
-1 1:11.84 2:0.89 3:2.58 4:18.0 5:94 6:2.2 7:2.21 8:0.22 9:2.35 10:3.05 11:0.79 12:3.08 13:520
-1 1:11.84 2:2.89 3:2.23 4:18.0 5:112 6:1.72 7:1.32 8:0.43 9:0.95 10:2.65 11:0.96 12:2.52 13:500
1 1:12.86 2:1.35 3:2.32 4:18.0 5:122 6:1.51 7:1.25 8:0.21 9:0.94 10:4.1 11:0.76 12:1.29 13:630
1 1:13.71 2:5.65 3:2.45 4:20.5 5:95 6:1.68 7:0.61 8:0.52 9:1.06 10:7.7 11:0.64 12:1.74 13:740
-1 1:12.0 2:1.51 3:2.42 4:22.0 5:86 6:1.45 7:1.25 8:0.5 9:1.63 10:3.6 11:1.05 12:2.65 13:450
1 1:12.93 2:2.81 3:2.7 4:21.0 5:96 6:1.54 7:0.5 8:0.53 9:0.75 10:4.6 11:0.77 12:2.31 13:600
1 1:12.88 2:2.99 3:2.4 4:20.0 5:104 6:1.3 7:1.22 8:0.24 9:0.83 10:5.4 11:0.74 12:1.42 13:530
-1 1:11.03 2:1.51 3:2.2 4:21.5 5:85 6:2.46 7:2.17 8:0.52 9:2.01 10:1.9 11:1.71 12:2.87 13:407
-1 1:12.21 2:1.19 3:1.75 4:16.8 5:151 6:1.85 7:1.28 8:0.14 9:2.5 10:2.85 11:1.28 12:3.07 13:718
-1 1:12.29 2:1.41 3:1.98 4:16.0 5:85 6:2.55 7:2.5 8:0.29 9:1.77 10:2.9 11:1.23 12:2.74 13:428
-1 1:12.37 2:0.94 3:1.36 4:10.6 5:88 6:1.98 7:0.57 8:0.28 9:0.42 10:1.95 11:1.05 12:1.82 13:520
1 1:12.25 2:3.88 3:2.2 4:18.5 5:112 6:1.38 7:0.78 8:0.29 9:1.14 10:8.21 11:0.65 12:2.0 13:855
-1 1:12.08 2:1.33 3:2.3 4:23.6 5:70 6:2.2 7:1.59 8:0.42 9:1.38 10:1.74 11:1.07 12:3.21 13:625
-1 1:12.37 2:1.07 3:2.1 4:18.5 5:88 6:3.52 7:3.75 8:0.24 9:1.95 10:4.5 11:1.04 12:2.77 13:660
1 1:12.7 2:3.55 3:2.36 4:21.5 5:106 6:1.7 7:1.2 8:0.17 9:0.84 10:5.0 11:0.78 12:1.29 13:600
-1 1:12.51 2:1.73 3:1.98 4:20.5 5:85 6:2.2 7:1.92 8:0.32 9:1.48 10:2.94 11:1.04 12:3.57 13:672
-1 1:13.11 2:1.01 3:1.7 4:15.0 5:78 6:2.98 7:3.18 8:0.26 9:2.28 10:5.3 11:1.12 12:3.18 13:502
-1 1:12.0 2:0.92 3:2.0 4:19.0 5:86 6:2.42 7:2.26 8:0.3 9:1.43 10:2.5 11:1.38 12:3.12 13:278
-1 1:11.46 2:3.74 3:1.82 4:19.5 5:107 6:3.18 7:2.58 8:0.24 9:3.58 10:2.9 11:0.75 12:2.81 13:562
1 1:12.77 2:2.39 3:2.28 4:19.5 5:86 6:1.39 7:0.51 8:0.48 9:0.64 10:9.899999000000001 11:0.57 12:1.63 13:470
-1 1:13.34 2:0.94 3:2.36 4:17.0 5:110 6:2.53 7:1.3 8:0.55 9:0.42 10:3.17 11:1.02 12:1.93 13:750
-1 1:12.99 2:1.67 3:2.6 4:30.0 5:139 6:3.3 7:2.89 8:0.21 9:1.96 10:3.35 11:1.31 12:3.5 13:985
1 1:13.17 2:5.19 3:2.32 4:22.0 5:93 6:1.74 7:0.63 8:0.61 9:1.55 10:7.9 11:0.6 12:1.48 13:725
-1 1:12.29 2:3.17 3:2.21 4:18.0 5:88 6:2.85 7:2.99 8:0.45 9:2.81 10:2.3 11:1.42 12:2.83 13:406
1 1:13.58 2:2.58 3:2.69 4:24.5 5:105 6:1.55 7:0.84 8:0.39 9:1.54 10:8.66 11:0.74 12:1.8 13:750
-1 1:12.08 2:1.13 3:2.51 4:24.0 5:78 6:2.0 7:1.58 8:0.4 9:1.4 10:2.2 11:1.31 12:2.72 13:630
1 1:12.6 2:2.46 3:2.2 4:18.5 5:94 6:1.62 7:0.66 8:0.63 9:0.94 10:7.1 11:0.73 12:1.58 13:695
1 1:13.88 2:5.04 3:2.23 4:20.0 5:80 6:0.98 7:0.34 8:0.4 9:0.68 10:4.9 11:0.58 12:1.33 13:415
-1 1:13.03 2:0.9 3:1.71 4:16.0 5:86 6:1.95 7:2.03 8:0.24 9:1.46 10:4.6 11:1.19 12:2.48 13:392
1 1:13.16 2:3.57 3:2.15 4:21.0 5:102 6:1.5 7:0.55 8:0.43 9:1.3 10:4.0 11:0.6 12:1.68 13:830
-1 1:11.82 2:1.72 3:1.88 4:19.5 5:86 6:2.5 7:1.64 8:0.37 9:1.42 10:2.06 11:0.94 12:2.44 13:415
-1 1:12.77 2:3.43 3:1.98 4:16.0 5:80 6:1.63 7:1.25 8:0.43 9:0.83 10:3.4 11:0.7 12:2.12 13:372
1 1:12.79 2:2.67 3:2.48 4:22.0 5:112 6:1.48 7:1.36 8:0.24 9:1.26 10:10.8 11:0.48 12:1.47 13:480
-1 1:12.0 2:3.43 3:2.0 4:19.0 5:87 6:2.0 7:1.64 8:0.37 9:1.87 10:1.28 11:0.93 12:3.05 13:564
-1 1:12.29 2:2.83 3:2.22 4:18.0 5:88 6:2.45 7:2.25 8:0.25 9:1.99 10:2.15 11:1.15 12:3.3 13:290
-1 1:12.72 2:1.75 3:2.28 4:22.5 5:84 6:1.38 7:1.76 8:0.48 9:1.63 10:3.3 11:0.88 12:2.42 13:488
1 1:12.81 2:2.31 3:2.4 4:24.0 5:98 6:1.15 7:1.09 8:0.27 9:0.83 10:5.7 11:0.66 12:1.36 13:560
-1 1:12.7 2:3.87 3:2.4 4:23.0 5:101 6:2.83 7:2.55 8:0.43 9:1.95 10:2.57 11:1.19 12:3.13 13:463
-1 1:11.62 2:1.99 3:2.28 4:18.0 5:98 6:3.02 7:2.26 8:0.17 9:1.35 10:3.25 11:1.16 12:2.96 13:345
1 1:12.58 2:1.29 3:2.1 4:20.0 5:103 6:1.48 7:0.58 8:0.53 9:1.4 10:7.6 11:0.58 12:1.55 13:640
1 1:14.34 2:1.68 3:2.7 4:25.0 5:98 6:2.8 7:1.31 8:0.53 9:2.7 10:13.0 11:0.57 12:1.96 13:660
-1 1:12.37 2:1.63 3:2.3 4:24.5 5:88 6:2.22 7:2.45 8:0.4 9:1.9 10:2.12 11:0.89 12:2.78 13:342
-1 1:11.45 2:2.4 3:2.42 4:20.0 5:96 6:2.9 7:2.79 8:0.32 9:1.83 10:3.25 11:0.8 12:3.39 13:625
-1 1:11.76 2:2.68 3:2.92 4:20.0 5:103 6:1.75 7:2.03 8:0.6 9:1.05 10:3.8 11:1.23 12:2.5 13:607
1 1:13.5 2:3.12 3:2.62 4:24.0 5:123 6:1.4 7:1.57 8:0.22 9:1.25 10:8.6 11:0.59 12:1.3 13:500
1 1:14.13 2:4.1 3:2.74 4:24.5 5:96 6:2.05 7:0.76 8:0.56 9:1.35 10:9.2 11:0.61 12:1.6 13:560
-1 1:12.04 2:4.3 3:2.38 4:22.0 5:80 6:2.1 7:1.75 8:0.42 9:1.35 10:2.6 11:0.79 12:2.57 13:580
-1 1:12.08 2:1.39 3:2.5 4:22.5 5:84 6:2.56 7:2.29 8:0.43 9:1.04 10:2.9 11:0.93 12:3.19 13:385
1 1:12.87 2:4.61 3:2.48 4:21.5 5:86 6:1.7 7:0.65 8:0.47 9:0.86 10:7.65 11:0.54 12:1.86 13:625
1 1:13.78 2:2.76 3:2.3 4:22.0 5:90 6:1.35 7:0.68 8:0.41 9:1.03 10:9.58 11:0.7 12:1.68 13:615
-1 1:12.33 2:0.99 3:1.95 4:14.8 5:136 6:1.9 7:1.85 8:0.35 9:2.76 10:3.4 11:1.06 12:2.31 13:750
1 1:12.2 2:3.03 3:2.32 4:19.0 5:96 6:1.25 7:0.49 8:0.4 9:0.73 10:5.5 11:0.66 12:1.83 13:510
-1 1:12.07 2:2.16 3:2.17 4:21.0 5:85 6:2.6 7:2.65 8:0.37 9:1.35 10:2.76 11:0.86 12:3.28 13:378
1 1:13.52 2:3.17 3:2.72 4:23.5 5:97 6:1.55 7:0.52 8:0.5 9:0.55 10:4.35 11:0.89 12:2.06 13:520
1 1:14.16 2:2.51 3:2.48 4:20.0 5:91 6:1.68 7:0.7 8:0.44 9:1.24 10:9.7 11:0.62 12:1.71 13:660
1 1:13.48 2:1.67 3:2.64 4:22.5 5:89 6:2.6 7:1.1 8:0.52 9:2.29 10:11.75 11:0.57 12:1.78 13:620
-1 1:12.52 2:2.43 3:2.17 4:21.0 5:88 6:2.55 7:2.27 8:0.26 9:1.22 10:2.0 11:0.9 12:2.78 13:325
1 1:13.45 2:3.7 3:2.6 4:23.0 5:111 6:1.7 7:0.92 8:0.43 9:1.46 10:10.68 11:0.85 12:1.56 13:695
-1 1:11.64 2:2.06 3:2.46 4:21.6 5:84 6:1.95 7:1.69 8:0.48 9:1.35 10:2.8 11:1.0 12:2.75 13:680
-1 1:11.65 2:1.67 3:2.62 4:26.0 5:88 6:1.92 7:1.61 8:0.4 9:1.34 10:2.6 11:1.36 12:3.21 13:562
1 1:13.4 2:3.91 3:2.48 4:23.0 5:102 6:1.8 7:0.75 8:0.43 9:1.41 10:7.3 11:0.7 12:1.56 13:750
-1 1:13.86 2:1.51 3:2.67 4:25.0 5:86 6:2.95 7:2.86 8:0.21 9:1.87 10:3.38 11:1.36 12:3.16 13:410
-1 1:11.87 2:4.31 3:2.39 4:21.0 5:82 6:2.86 7:3.03 8:0.21 9:2.91 10:2.8 11:0.75 12:3.64 13:380
-1 1:12.47 2:1.52 3:2.2 4:19.0 5:162 6:2.5 7:2.27 8:0.32 9:3.28 10:2.6 11:1.16 12:2.63 13:937
-1 1:12.42 2:4.43 3:2.73 4:26.5 5:102 6:2.2 7:2.13 8:0.43 9:1.71 10:2.08 11:0.92 12:3.12 13:365
1 1:13.69 2:3.26 3:2.54 4:20.0 5:107 6:1.83 7:0.56 8:0.5 9:0.8 10:5.88 11:0.96 12:1.82 13:680
-1 1:12.08 2:1.83 3:2.32 4:18.5 5:81 6:1.6 7:1.5 8:0.52 9:1.64 10:2.4 11:1.08 12:2.27 13:480
